KEGG pathway,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
map04722 Neurotrophin signaling pathway,6,25,491,1633,0.8,0.6612728138220388,0.18,A0A8V1AJR8 A0A1D5P2H5 A0A1L1RPJ2 P08642 A0A8V1AHK4 A0A1D5PIQ5
map04723 Retrograde endocannabinoid signaling,21,50,491,1633,1.4,0.08338830215882737,1.08,A0A1D5PNM0 A0A8V0ZRZ8 A0A8V1AA37 A0A1D5PK92 A0A8V0XCD2 A0A8V0X535 A0A1D5P179 A0A8V1AH40 A0A8V0Z863 A0A8V0ZVA2 A0A8V0YC52 A0A8V0Y9V7 A0A8V0Y6X8 A0A8V0Z7C7 A0A8V0YFF3 A0A8V0XS64 A0A8V0Z382 F1NLV4 E1BW98 A0A1D5PIQ5 R4GGZ2
map04724 Glutamatergic synapse,3,23,491,1633,0.43,0.10606695019282186,0.97,A0A8V0XS64 E1BW98 F1NLV4
map04725 Cholinergic synapse,5,29,491,1633,0.57,0.15448188208834862,0.81,A0A1L1RPJ2 P08642 A0A8V0XS64 E1BW98 F1NLV4
map04726 Serotonergic synapse,5,27,491,1633,0.62,0.21136663065096378,0.67,A0A1L1RPJ2 P08642 A0A8V0XS64 E1BW98 F1NLV4
map04727 GABAergic synapse,4,17,491,1633,0.78,0.790867706532717,0.1,A0A8V0ZZU2 E1BW98 A0A8V0XS64 F1NLV4
map04728 Dopaminergic synapse,8,32,491,1633,0.83,0.6972310165869231,0.16,Q5ZM47 A0A8V0ZQN3 A0A1D5P2H5 A0A8V0Z5C6 A0A8V0XS64 E1BW98 A0A1D5PIQ5 F1NLV4
map04730 Long-term depression,4,24,491,1633,0.55,0.18181157993492347,0.74,A0A1L1RPJ2 P08642 A0A8V0X354 Q5ZM47
map04740 Olfactory transduction,2,8,491,1633,0.83,1.0,-0.0,A0A1D5P2H5 F1NLV4
map04744 Phototransduction,2,2,491,1633,3.33,0.09027577656905159,1.04,A0A1D5P2H5 F1NLV4
map04745 Phototransduction - fly,2,8,491,1633,0.83,1.0,-0.0,A0A1D5P2H5 A0A8V0ZIN3
map04750 Inflammatory mediator regulation of TRP channels,6,26,491,1633,0.77,0.5224181206539944,0.28,A0A1D5PD64 A0A8V0YNC4 A0A8V0ZQN3 A0A1D5P2H5 A0A8V0Z5C6 A0A1D5PIQ5
map04810 Regulation of actin cytoskeleton,27,75,491,1633,1.2,0.24858000766096516,0.6,A0A8V0YNC4 A0A8V0ZUI9 A0A8V0YY47 Q90WD0 A0A8V0ZD41 A0A1D5PIZ8 A0A8V0X5B9 Q5ZMV5 A0A8V0XMT9 E1BS97 P08642 A0A3S5ZPV2 A0A8V0Z5C6 A0A1L1RM08 A0A8V1A3U0 H9L0D7 A0A8V0Y5A6 A0A1D5PM19 A0A8V0ZY87 A0A3Q2UAP0 A0A8V0ZQN3 A0A3Q2UGG0 P53488 A0A1L1RPJ2 A0A8V1AHP5 A0A8V0ZIN3 A0A8V0Z153
map04910 Insulin signaling pathway,13,30,491,1633,1.44,0.11234628916534484,0.95,A0A8V0ZQN3 A0A1D5P2H5 A0A8V0ZM20 A0A1L1RPJ2 P08642 E1BSN7 A0A8V0Z5C6 A0A8V0Z8R3 A0A8V0ZAI6 F1NUX4 A0A8V1ACT0 A0A1D5PP34 A0A8V0Z1Z1
map04911 Insulin secretion,2,16,491,1633,0.42,0.17148611935280259,0.77,A0A8V0XTC5 A0A8V0ZX92
map04912 GnRH signaling pathway,5,28,491,1633,0.59,0.21166809919885018,0.67,A0A1D5PD64 A0A1D5P2H5 A0A1L1RPJ2 P08642 A0A1D5PIQ5
map04914 Progesterone-mediated oocyte maturation,3,16,491,1633,0.62,0.4185868339414618,0.38,A0A1L1RPJ2 A0A1D5PIQ5 A0A1D5PUL6
map04915 Estrogen signaling pathway,17,45,491,1633,1.26,0.2521592162458049,0.6,A0A1D5PFJ6 A0A8V1A8U0 A0A1D5PUL6 O93256 A0A8V1A178 A0A8V0YXL9 A0A1D5PPN9 A0A1D5P2H5 A0A1L1RPJ2 P08642 A0A3Q2U9P1 A0A8V1A8T0 A0A8V0Y7A6 A0A8V0ZK24 A0A8V0ZQ00 A0A8V0Z8E9 A0A8V0ZVD2
map04916 Melanogenesis,5,26,491,1633,0.64,0.2837867642247228,0.55,A0A1D5NYE8 A0A1D5P2H5 A0A1L1RPJ2 P08642 A0A8V0Y7A6
map04917 Prolactin signaling pathway,4,14,491,1633,0.95,1.0,-0.0,A0A1L1RPJ2 A0A1D5PIQ5 P08642 A0A8V0YFT7
map04918 Thyroid hormone synthesis,9,25,491,1633,1.2,0.5143145637056155,0.29,A0A8V0YS93 A0A1L1RWR0 A0A1D5PPN9 A0A8V0XZQ2 A0A8V0XTC5 A0A8V0ZX92 A0A1I7Q422 A0A1D5NW68 A0A8V0XJ14
