Protein accession	Gene name	ratio	type
A0A8V0YLX0	VSTM2L	0.3771486549165121	Down
A0A8V0YLN5	ARSB	0.524194423801134	Down
A0A8V0YEZ4	SST1	0.5612038984714627	Down
A0A8V0YKA1	AKR1B10	0.6515651807371472	Down
A0A8V0YIV5	MAMDC2	0.5359886902699877	Down
A0A8V0YIE9	SPEF2	0.6532278697807076	Down
A0A8V0YHL6	--	0.2265566892973889	Down
A0A8V0YHH6	--	0.4893539891887282	Down
A0A1D5PT25	BPIFCB	0.6407495521205746	Down
A0A8V0YGQ5	ST13P5	0.6511057322037628	Down
A0A8V0YGL6	GFRA3	0.4523138560832724	Down
A0A8V0YG88	MYO1B	0.4297359245626741	Down
A0A1D5PNL3	UBE2N	0.640308495501657	Down
A0A8V0Z6L1	CFAP61	0.5654615511721078	Down
A0A8V0Y513	CPS1	0.4593663567075078	Down
A0A8V0X7F0	RNASEK	0.5993163010131738	Down
A0A8V0Z8V4	SLIT1	0.26817502078273103	Down
A0A8V1ADF6	NRTN	0.5430123804571751	Down
A0A8V0Z9B8	ADAMTS17	0.4505835877177232	Down
A0A8V0Z9Y8	AP2M1	0.5744604222668789	Down
A0A8V1ACS0	UBA52	0.6189253246538896	Down
A0A8V1ACQ8	ST6GALNAC2	0.5048989170814873	Down
A0A8V1ACD6	SEMA3F	0.5310332320805187	Down
A0A8V1ABC9	PRKCA	0.34891123858404405	Down
A0A8V0ZBR8	NID2	0.4445988983059639	Down
A0A8V1ABC8	MYD88	0.3388744512391729	Down
A0A8V1AB05	PTPRS	0.5274766824058561	Down
A0A8V1A9U7	FBLN2	0.5338523598583906	Down
A0A8V0ZDK0	LMLN	0.3949323816165511	Down
A0A8V0ZDU4	SEMA4G	0.4022067225508031	Down
A0A8V0ZDZ5	TNFSF10	0.6560358536937979	Down
A0A8V0ZE58	CYR61	0.5618537227727047	Down
A0A8V1A9A7	LRP5	0.5906591089292643	Down
A0A8V1AEM5	LOC425662	0.5202222122396418	Down
A0A8V0Z865	MRPL2	0.5840296261299697	Down
A0A8V0Z832	H6PD	0.6543223917794944	Down
A0A8V0Z7D4	MYOF	0.6264841471252245	Down
A0A8V1AQ96	TBC1D24L	0.5315815646984772	Down
A0A8V0Z4J0	RPS27A	0.5371425042868611	Down
A0A8V0Z4M1	VEGFA	0.6302827809001195	Down
A0A8V0Z4P8	STARD9	0.3124678218772813	Down
A0A8V0Z4R1	MAT2L2	0.4725258971050586	Down
A0A8V0Z4U2	RSPH9	0.6414749916273531	Down
A0A8V1AN12	MMP28	0.40777613003591096	Down
A0A8V1AM51	DNAH9	0.6347539001431115	Down
A0A8V1A8N2	C8A	0.5086655839680704	Down
A0A8V0Z5R3	TTYH3	0.5561388550193662	Down
A0A8V0Z6B9	DNAH3	0.6559989865439962	Down
A0A8V0Z6M9	TBCC	0.6324010493696739	Down
A0A8V1AJV5	SLC9A3R1	0.5804772041402323	Down
A0A8V0Z6S1	GALNT16	0.4804381574804859	Down
A0A8V1AHJ8	GSTM2	0.6655981546168362	Down
A0A8V1AG56	WNT5A	0.3196116689366824	Down
A0A8V1AFR2	COL7A1	0.2773218199626388	Down
A0A8V1AFH0	CTSS	0.6560052233363523	Down
A0A8V1AK88	FDPS	0.4000341324208312	Down
A0A8V1A8M1	SEMA3DL	0.6286607587127335	Down
A0A8V0ZES4	CNNM4	0.5349645143679587	Down
A0A8V1A803	CHCHD6	0.5131983516799139	Down
A0A8V0ZYN6	POMGNT1	0.4545730179412649	Down
A0A8V0ZLV3	AMY1A	0.4590505187284739	Down
A0A8V0ZYM1	PI4KA	0.4676986455686255	Down
A0A8V0ZY61	GALNT3	0.5853524413762262	Down
A0A8V0ZY42	PSMD11	0.3853993351416941	Down
A0A8V0ZNH3	TMPRSS4	0.5469210534655976	Down
A0A8V0ZNY6	PLXNA1	0.20549359842013004	Down
A0A8V0ZP32	CPN1	0.6039968469517548	Down
A0A8V0ZKS6	NEO1	0.6294267263934814	Down
A0A8V0ZPH9	EPHA1	0.6139311723032884	Down
A0A8V0ZX23	TPST2	0.6612110475038668	Down
A0A8V0ZWX9	ADA	0.4677440331398569	Down
A0A8V0ZWH1	GALNT6	0.6423816097800221	Down
A0A8V0ZW46	UGGT1	0.636361626516876	Down
A0A8V0ZQP1	MYO1D	0.4975785167945045	Down
A0A8V0ZR84	POMGNT1	0.4721737426438619	Down
A0A8V0ZUM8	WDR78	0.5469331928618295	Down
A0A8V0ZTP1	LAMA5	0.6481428546376024	Down
A0A8V0ZX85	--	0.5068385326963691	Down
A0A8V0Z438	ZC3H14	0.6081843234380996	Down
A0A8V0ZZG2	ITCH	0.6298832210310201	Down
A0A8V0ZZU1	RAB5B	0.4776971747954674	Down
A0A8V1A7R0	STAT3	0.3943911740452026	Down
A0A8V0ZF60	RSPH10B	0.3613897846874097	Down
A0A8V0ZF83	TLL2	0.6520337158639339	Down
A0A8V0ZFH4	LARGE2	0.5616519247054995	Down
A0A8V0ZFR8	TMC5	0.5032572268495835	Down
